Date,Open,High,Low,Close,Volume
2010-01-04,2533.947998,2576.055908,2532.895996,2575.413086,18339300.0
2010-01-05,2575.616943,2606.069092,2575.616943,2605.2771,57043800.0
2010-01-06,2605.480957,2622.115967,2587.709961,2603.297119,51569100.0
2010-01-07,2603.500977,2611.603027,2570.272949,2586.89502,45510800.0
2010-01-08,2586.792969,2614.535889,2583.846924,2614.370117,73723500.0
2010-01-11,2615.60791,2649.197021,2615.60791,2632.204102,52891200.0
2010-01-12,2632.305908,2659.976074,2623.773926,2659.551025,57497400.0
2010-01-13,2657.903076,2657.903076,2623.460938,2632.87207,42685500.0
2010-01-14,2633.582031,2661.927979,2633.582031,2645.180908,53126200.0
2010-01-15,2646.75293,2655.805908,2638.355957,2647.090088,47643800.0
2010-01-18,2645.441895,2648.924072,2629.907959,2642.548096,30861500.0
2010-01-19,2642.354004,2666.572998,2640.177979,2666.071045,32768000.0
2010-01-20,2666.577881,2689.774902,2655.0,2667.266113,36995600.0
2010-01-21,2664.658936,2664.658936,2621.360107,2638.38208,32438400.0
2010-01-22,2636.961914,2636.961914,2580.167969,2610.340088,36693100.0
2010-01-25,2609.730957,2609.730957,2575.962891,2597.860107,33669400.0
2010-01-26,2597.353027,2608.73999,2568.948975,2578.415039,42143000.0
2010-01-27,2577.907959,2594.246094,2554.88208,2564.553955,26010100.0
2010-01-28,2565.37793,2619.978027,2565.37793,2619.564941,33551500.0
2010-01-29,2619.260986,2619.260986,2569.266113,2610.795898,21712000.0
2010-02-01,2610.593018,2610.593018,2571.759033,2587.549072,32319600.0
2010-02-02,2588.259033,2613.673096,2574.110107,2580.250977,30633100.0
2010-02-03,2580.656006,2606.282959,2580.656006,2604.549072,38272000.0
2010-02-04,2604.751953,2610.36792,2589.054932,2593.219971,38026400.0
2010-02-05,2592.408936,2592.408936,2506.888916,2518.976074,34842900.0
2010-02-08,2518.606934,2518.606934,2431.837891,2475.572021,36850700.0
2010-02-09,2474.75,2490.108887,2439.909912,2489.485107,32704700.0
2010-02-10,2490.292969,2511.735107,2474.400879,2483.437988,26501600.0
2010-02-11,2483.638916,2508.262939,2468.854004,2507.750977,40917000.0
2010-02-12,2508.154053,2536.565918,2501.985107,2534.136963,35308600.0
2010-02-15,2533.733887,2533.733887,2510.958984,2517.456055,16743700.0
2010-02-16,2517.657959,2558.655029,2516.337891,2558.504883,22302000.0
2010-02-17,2558.605957,2581.600098,2558.605957,2581.340088,35680400.0
2010-02-18,2581.440918,2581.440918,2550.529053,2560.033936,26304700.0
2010-02-19,2559.933105,2559.933105,2527.745117,2554.375977,21925400.0
2010-02-22,2554.779053,2574.968994,2553.813965,2564.262939,19028500.0
2010-02-23,2564.162109,2583.695068,2538.034912,2583.650879,32655900.0
2010-02-24,2582.423096,2582.423096,2555.469971,2579.416016,40083200.0
2010-02-25,2579.314941,2583.158936,2536.092041,2549.032959,23650800.0
2010-03-01,2548.831055,2565.437012,2545.893066,2554.674072,18985100.0
2010-03-02,2554.4729,2577.090088,2554.4729,2576.591064,25350600.0
2010-03-03,2577.000977,2585.832031,2552.854004,2567.089111,34245400.0
2010-03-04,2566.988037,2579.532959,2557.370117,2565.64502,24987400.0
2010-03-05,2566.053955,2583.087891,2566.053955,2578.771973,25418300.0
2010-03-08,2578.974121,2627.695068,2578.974121,2626.450928,29813600.0
2010-03-09,2626.25,2657.38208,2624.11499,2657.166992,30408700.0
2010-03-10,2656.862061,2676.273926,2652.849121,2670.218994,30181300.0
2010-03-11,2670.118896,2687.11792,2661.928955,2676.521973,40847100.0
2010-03-12,2676.113037,2686.237061,2661.056885,2666.510986,52724000.0
2010-03-15,2666.409912,2683.10791,2658.554932,2669.60791,29518100.0
2010-03-17,2669.406982,2756.261963,2669.406982,2756.261963,65719300.0
2010-03-18,2756.462891,2779.355957,2718.305908,2737.241943,60311400.0
2010-03-19,2738.802979,2758.125977,2725.648926,2742.974121,38764300.0
2010-03-22,2742.672119,2742.672119,2698.262939,2702.400879,34251000.0
2010-03-23,2702.602051,2746.13501,2702.602051,2720.862061,27466700.0
2010-03-24,2721.164063,2774.850098,2721.164063,2774.850098,33240000.0
2010-03-25,2773.297119,2814.861084,2760.200928,2799.148926,42022300.0
2010-03-26,2799.25,2813.082031,2792.361084,2813.082031,40138200.0
2010-03-29,2813.490967,2813.795898,2780.429932,2794.770996,46152900.0
2010-03-30,2795.179932,2818.940918,2787.504883,2798.268066,41374000.0
2010-03-31,2798.677002,2809.4729,2758.261963,2777.301025,41736300.0
2010-04-01,2777.704102,2834.240967,2777.704102,2829.996094,42051100.0
2010-04-05,2831.031006,2890.176025,2831.031006,2887.246094,44192300.0
2010-04-06,2888.805908,2911.462891,2871.74707,2880.968994,84458100.0
2010-04-07,2881.371094,2916.108887,2881.371094,2898.582031,65778000.0
2010-04-08,2898.179932,2898.179932,2837.399902,2850.833984,51323800.0
2010-04-09,2850.633057,2870.968994,2833.243896,2845.010986,42393300.0
2010-04-12,2845.614014,2882.714111,2845.614014,2881.333008,50485000.0
2010-04-13,2881.028076,2884.946045,2856.249023,2884.699951,49876500.0
2010-04-14,2884.900879,2897.329102,2875.25293,2885.014893,50442600.0
2010-04-15,2885.115967,2913.718018,2885.115967,2900.530029,57186200.0
2010-04-16,2900.833984,2903.278076,2860.927002,2878.670898,36312000.0
2010-04-19,2877.968018,2877.968018,2811.788086,2840.425049,37623100.0
